2020-03-22,	Apuane,	Massa,	9
2020-03-22,	Apuane,	Carrara,	4
2020-03-22,	Apuane,	Montignoso,	1
2020-03-22,	Lunigiana,	Aulla,	1
2020-03-22,	Lunigiana,	Pontremoli,	4
2020-03-22,	Lunigiana,	Mulazzo,	2
2020-03-22,	Lunigiana,	Fivizzano,	3
2020-03-22,	Lunigiana,	Villafranca in Lunigiana,	2
2020-03-22,	Lunigiana,	Bagnone,	1
2020-03-22,	Lunigiana,	Licciana Nardi,	1
2020-03-22,	Piana di Lucca,	Lucca,	6
2020-03-22,	Piana di Lucca,	Capannori,	8
2020-03-22,	Piana di Lucca,	Altopascio,	1
2020-03-22,	Piana di Lucca,	Montecarlo,	1
2020-03-22,	Piana di Lucca,	Porcari,	1
2020-03-22,	Valle del Serchio,	Castelnuovo Garfagnana,	6
2020-03-22,	Valle del Serchio,	Barga,	2
2020-03-22,	Valle del Serchio,	Minucciano,	1
2020-03-22,	Valle del Serchio,	Coreglia Antelminelli,	1
2020-03-22,	Valle del Serchio,	Gallicano,	1
2020-03-22,	Valle del Serchio,	Castiglione Garfagnana,	1
2020-03-22,	Zona Pisana,	Pisa,	4
2020-03-22,	Zona Pisana,	Cascina,	3
2020-03-22,	Zona Pisana,	San Giuliano Terme,	1
2020-03-22,	Zona Pisana,	Vecchiano,	2
2020-03-22,	Zona Pisana,	Palaia,	1
2020-03-22,	Zona Pisana,	Ponsacco,	5
2020-03-22,	Zona Pisana,	Bientina,	1
2020-03-22,	Zona Pisana,	Pontedera,	1
2020-03-22,	Zona Pisana,	Pomarance,	1
2020-03-22,	Zona Pisana,	Volterra,	2
2020-03-22,	Zona Pisana,	Castelnuovo Val di Cecina,	1
2020-03-22,	Zona Livornese,	Livorno,	6
2020-03-22,	Zona Livornese,	Cecina,	2
2020-03-22,	Zona Livornese,	Rosignano Marittimo,	3
2020-03-22,	Zona Livornese,	Piombino,	2
2020-03-22,	Elba,	Rio nellâ€™Elba,	1
2020-03-22,	Versilia,	Seravezza,	2
2020-03-22,	Versilia,	Viareggio,	14
2020-03-22,	Versilia,	Pietrasanta,	4
2020-03-22,	Versilia,	Massarosa,	5
2020-03-22,	Versilia,	Camaiore,	2
2020-03-22,	Versilia,	Forte dei Marmi,	1
2020-03-23,	Apuane,	Massa,	8
2020-03-23,	Apuane,	Carrara,	2
2020-03-23,	Lunigiana,	Aulla,	1
2020-03-23,	Lunigiana,	Filattiera,	1
2020-03-23,	Lunigiana,	Pontremoli,	3
2020-03-23,	Lunigiana,	Mulazzo,	1
2020-03-23,	Piana di Lucca,	Lucca,	6
2020-03-23,	Piana di Lucca,	Capannori,	4
2020-03-23,	Piana di Lucca,	Altopascio,	1
2020-03-23,	Piana di Lucca,	Pescaglia,	1
2020-03-23,	Valle del Serchio,	Castelnuovo Garfagnana,	1
2020-03-23,	Zona Pisana,	Pisa,	5
2020-03-23,	Zona Pisana,	Cascina,	2
2020-03-23,	Zona Pisana,	Vecchiano,	1
2020-03-23,	Zona Pisana,	Ponsacco,	2
2020-03-23,	Zona Pisana,	Pontedera,	3
2020-03-23,	Zona Pisana,	Volterra,	2
2020-03-23,	Zona Pisana,	Terricciola,	2
2020-03-23,	Zona Pisana,	Buti,	4
2020-03-23,	Zona Pisana,	Calcinaia,	3
2020-03-23,	Zona Pisana,	Capannoli,	1
2020-03-23,	Zona Pisana,	Casciana Terme Lari,	2
2020-03-23,	Zona Pisana,	Peccioli,	1
2020-03-23,	Zona Livornese,	Livorno,	6
2020-03-23,	Bassa Val di Cecina Val di Cornia,	Bibbona,	1
2020-03-23,	Bassa Val di Cecina Val di Cornia,	Cecina,	1
2020-03-23,	Bassa Val di Cecina Val di Cornia,	Piombino,	1
2020-03-23,	Versilia,	Seravezza,	1
2020-03-23,	Versilia,	Viareggio,	1
2020-03-23,	Versilia,	Pietrasanta,	1
2020-03-23,	Versilia,	Camaiore,	1
2020-03-23,	Versilia,	Forte dei Marmi,	3
2020-03-24,	Apuane,	Massa,	2
2020-03-24,	Lunigiana,	Aulla,	1
2020-03-24,	Lunigiana,	Filattiera,	3
2020-03-24,	Lunigiana,	Fivizzano,	2
2020-03-24,	Lunigiana,	Fosdinovo,	1
2020-03-24,	Lunigiana,	Licciana Nardi,	2
2020-03-24,	Lunigiana,	Mulazzo,	1
2020-03-24,	Lunigiana,	Villafranca in Lunigiana,	3
2020-03-24,	Piana di Lucca,	Lucca,	2
2020-03-24,	Piana di Lucca,	Capannori,	4
2020-03-24,	Valle del Serchio,	Minucciano,	1
2020-03-24,	Valle del Serchio,	Piazza al Serchio,	1
2020-03-24,	Valle del Serchio,	Pieve Fosciana,	1
2020-03-24,	Zona Pisana,	Pisa,	3
2020-03-24,	Zona Pisana,	Cascina,	2
2020-03-24,	Zona Pisana,	San Giuliano Terme,	5
2020-03-24,	Zona Pisana,	Bientina,	1
2020-03-24,	Zona Pisana,	Pontedera,	1
2020-03-24,	Zona Pisana,	Santa Maria a Monte,	1
2020-03-24,	Zona Livornese,	Livorno,	5
2020-03-24,	Zona Livornese,	Castagneto Carducci,	1
2020-03-24,	Zona Livornese,	Cecina,	4
2020-03-24,	Zona Livornese,	Rosignano,	5
2020-03-24,	Versilia,	Camaiore,	1
2020-03-24,	Versilia,	Forte dei Marmi,	1
2020-03-24,	Versilia,	Massarosa,	2
2020-03-24,	Versilia,	Pietrasanta,	5
2020-03-24,	Versilia,	Seravezza,	6
2020-03-25,	Apuane,	Carrara,	3
2020-03-25,	Apuane,	Massa,	5
2020-03-25,	Apuane,	Montignoso,	4
2020-03-25,	Lunigiana,	Aulla,	1
2020-03-25,	Lunigiana,	Licciana Nardi,	2
2020-03-25,	Lunigiana,	Pontremoli,	3
2020-03-25,	Lunigiana,	Tresana,	1
2020-03-25,	Piana di Lucca,	Altopascio,	3
2020-03-25,	Piana di Lucca,	Capannori,	10
2020-03-25,	Piana di Lucca,	Lucca,	15
2020-03-25,	Piana di Lucca,	Montecarlo,	1
2020-03-25,	Piana di Lucca,	Villa Basilica,	1
2020-03-25,	Valle del Serchio,	Borgo a Mozzano,	1
2020-03-25,	Valle del Serchio,	Castelnuovo Garfagnana,	1
2020-03-25,	Valle del Serchio,	Piazza al Serchio,	1
2020-03-25,	Valle del Serchio,	Pieve Fosciana,	1
2020-03-25,	Valle del Serchio,	San Romano in Garfagnana,	2
2020-03-25,	Zona Pisana,	Cascina,	1
2020-03-25,	Zona Pisana,	Pisa,	10
2020-03-25,	Zona Pisana,	San Giuliano Terme,	2
2020-03-25,	Zona Pisana,	Vecchiano,	3
2020-03-25,	Zona Pisana,	Calcinaia,	2
2020-03-25,	Zona Pisana,	Capannoli,	3
2020-03-25,	Zona Pisana,	Palaia,	1
2020-03-25,	Zona Pisana,	Peccioli,	1
2020-03-25,	Zona Pisana,	Santa Maria a Monte,	2
2020-03-25,	Zona Pisana,	Volterra,	2
2020-03-25,	Zona Livornese,	Collesalvetti,	2
2020-03-25,	Zona Livornese,	Livorno,	3
2020-03-25,	Bassa Val di Cecina Val di Cornia,	Cecina,	1
2020-03-25,	Bassa Val di Cecina Val di Cornia,	Riparbella,	1
2020-03-25,	Bassa Val di Cecina Val di Cornia,	Rosignano,	1
2020-03-25,	Versilia,	Camaiore,	3
2020-03-25,	Versilia,	Forte dei Marmi,	7
2020-03-25,	Versilia,	Massarosa,	2
2020-03-25,	Versilia,	Pietrasanta,	3
2020-03-25,	Versilia,	Seravezza,	5
2020-03-25,	Versilia,	Viareggio,	5
2020-03-26,	Apuane,	Carrara,	2
2020-03-26,	Apuane,	Massa,	8
2020-03-26,	Lunigiana,	Aulla,	2
2020-03-26,	Lunigiana,	Fivizzano,	2
2020-03-26,	Lunigiana,	Fosdinovo,	1
2020-03-26,	Lunigiana,	Licciana Nardi,	2
2020-03-26,	Lunigiana,	Mulazzo,	2
2020-03-26,	Lunigiana,	Pontremoli,	3
2020-03-26,	Lunigiana,	Tresana,	1
2020-03-26,	Lunigiana,	Villafranca in Lunigiana,	2
2020-03-26,	Lunigiana,	Zeri,	1
2020-03-26,	Piana di Lucca,	Altopascio,	1
2020-03-26,	Piana di Lucca,	Capannori,	12
2020-03-26,	Piana di Lucca,	Lucca,	3
2020-03-26,	Valle del Serchio,	Borgo a Mozzano,	1
2020-03-26,	Valle del Serchio,	Camporgiano,	1
2020-03-26,	Valle del Serchio,	Castelnuovo Garfagnana,	1
2020-03-26,	Valle del Serchio,	Coreglia,	2
2020-03-26,	Valle del Serchio,	Pieve Fosciana,	1
2020-03-26,	Valle del Serchio,	San Romano in Garfagnana,	1
2020-03-26,	Valle del Serchio,	Vagli di Sotto,	6
2020-03-26,	Valle del Serchio,	Villa Collemandina,	1
2020-03-26,	Zona Pisana,	Calci,	1
2020-03-26,	Zona Pisana,	Pisa,	2
2020-03-26,	Zona Pisana,	San Giuliano Terme,	3
2020-03-26,	Zona Pisana,	Vecchiano,	4
2020-03-26,	Zona Pisana,	Capannoli,	4
2020-03-26,	Zona Pisana,	Casciana Terme Lari,	1
2020-03-26,	Zona Pisana,	Pomarance,	1
2020-03-26,	Zona Pisana,	Ponsacco,	1
2020-03-26,	Zona Pisana,	Pontedera,	1
2020-03-26,	Zona Pisana,	Volterra,	1
2020-03-26,	Zona Livornese,	Collesalvetti,	3
2020-03-26,	Zona Livornese,	Livorno,	10
2020-03-26,	Bassa Val di Cecina Val di Cornia,	Cecina,	3
2020-03-26,	Bassa Val di Cecina Val di Cornia,	Piombino,	4
2020-03-26,	Bassa Val di Cecina Val di Cornia,	Riparbella,	1
2020-03-26,	Bassa Val di Cecina Val di Cornia,	Rosignano M,	2
2020-03-26,	Versilia,	Camaiore,	4
2020-03-26,	Versilia,	Forte dei Marmi,	2
2020-03-26,	Versilia,	Massarosa,	4
2020-03-26,	Versilia,	Pietrasanta,	6
2020-03-26,	Versilia,	Seravezza,	1
2020-03-26,	Versilia,	Viareggio,	6
2020-03-27,	Apuane,	Carrara,	15
2020-03-27,	Apuane,	Massa,	7
2020-03-27,	Lunigiana,	Pontremoli,	9
2020-03-27,	Lunigiana,	Aulla,	1
2020-03-27,	Lunigiana,	Fivizzano,	11
2020-03-27,	Lunigiana,	Licciana Nardi,	2
2020-03-27,	Lunigiana,	Mulazzo,	1
2020-03-27,	Lunigiana,	Pontremoli,	1
2020-03-27,	Lunigiana,	Villafranca in Lunigiana,	2
2020-03-27,	Lunigiana,	Casola in Lunigiana,	1
2020-03-27,	Lunigiana,	Bagnone,	3
2020-03-27,	Lunigiana,	Filattiera,	1
2020-03-27,	Piana di Lucca,	Altopascio,	2
2020-03-27,	Piana di Lucca,	Capannori,	7
2020-03-27,	Piana di Lucca,	Lucca,	3
2020-03-27,	Valle del Serchio,	Castelnuovo Garfagnana,	3
2020-03-27,	Valle del Serchio,	Molazzana,	1
2020-03-27,	Valle del Serchio,	Barga,	1
2020-03-27,	Zona Pisana,	Pisa,	5
2020-03-27,	Zona Pisana,	Cascina,	2
2020-03-27,	Zona Pisana,	Vico Pisano,	1
2020-03-27,	Zona Pisana,	Vecchiano,	1
2020-03-27,	Alta Val di Cecina Valdera,	Peccioli,	1
2020-03-27,	Alta Val di Cecina Valdera,	Volterra,	3
2020-03-27,	Alta Val di Cecina Valdera,	Calcinaia,	4
2020-03-27,	Alta Val di Cecina Valdera,	Pomarance,	1
2020-03-27,	Alta Val di Cecina Valdera,	Palaia,	1
2020-03-27,	Alta Val di Cecina Valdera,	Bientina,	1
2020-03-27,	Alta Val di Cecina Valdera,	S  M. a Monte,	1
2020-03-27,	Alta Val di Cecina Valdera,	Capannoli,	1
2020-03-27,	Zona Livornese,	Collesalvetti,	1
2020-03-27,	Zona Livornese,	Livorno,	11
2020-03-27,	Versilia,	Camaiore,	4
2020-03-27,	Versilia,	Massarosa,	3
2020-03-27,	Versilia,	Pietrasanta,	2
2020-03-27,	Versilia,	Seravezza,	6
2020-03-27,	Versilia,	Viareggio,	6
2020-03-27,	Versilia,	Stazzema,	2
